#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 3.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 251  1.501385  3.5964  1.3403  2.6131  3.7718  0.0767 -1.1845 -1.7736 -2.1140
 252  1.501483  3.5933  1.2908  2.6502  3.7606  0.0379 -1.2313 -1.8480 -2.2037
 253  1.501573  3.5902  1.2427  2.6861  3.7467  0.0016 -1.2752 -1.9195 -2.2905
 254  1.501655  3.5872  1.1954  2.7215  3.7313 -0.0319 -1.3154 -1.9886 -2.3753
 255  1.501732  3.5843  1.1491  2.7560  3.7160 -0.0618 -1.3501 -2.0550 -2.4579
 256  1.501803  3.5814  1.1040  2.7895  3.7011 -0.0881 -1.3790 -2.1181 -2.5381
 257  1.501869  3.5785  1.0595  2.8224  3.6866 -0.1116 -1.4028 -2.1789 -2.6170
 258  1.501930  3.5756  1.0162  2.8544  3.6725 -0.1316 -1.4207 -2.2367 -2.6934
 259  1.501985  3.5728  0.9737  2.8856  3.6588 -0.1471 -1.4319 -2.2912 -2.7676
 260  1.502038  3.5700  0.9320  2.9162  3.6449 -0.1585 -1.4371 -2.3432 -2.8398
 261  1.502087  3.5672  0.8911  2.9460  3.6312 -0.1652 -1.4348 -2.3921 -2.9102
 262  1.502133  3.5645  0.8510  2.9753  3.6179 -0.1674 -1.4258 -2.4381 -2.9785
 263  1.502176  3.5619  0.8117  3.0038  3.6056 -0.1654 -1.4120 -2.4809 -3.0445
 264  1.502217  3.5593  0.7733  3.0316  3.5946 -0.1582 -1.3929 -2.5200 -3.1078
 265  1.502255  3.5566  0.7355  3.0589  3.5850 -0.1460 -1.3682 -2.5558 -3.1687
