objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671262272356428,132.980143282709,11.8147151688189,24.3057,23.18463,24.87171,24.57826,23.22349,0.6041034,0.1987743,0.5579302,0.4699583,0.3787168
1237671262272356427,132.972541547495,11.8193946577209,24.05513,23.80336,22.74463,23.37172,22.9844,0.5573463,0.3223902,0.1735447,0.3414198,0.4029917
1237671262272356426,132.971201914846,11.8148161318778,23.93709,23.37036,22.59329,22.68205,22.95361,0.5493244,0.2361065,0.1566902,0.2129911,0.4176103
1237671262272356425,132.970967820633,11.8342935809667,23.70322,24.62464,22.89409,22.4771,22.00263,0.4959144,0.5392664,0.2088917,0.1884287,0.341905
1237671262272356424,132.973320458222,11.8171024029276,24.73209,24.75839,23.64897,22.12634,21.39853,0.6087201,0.5492749,0.3562277,0.1299389,0.2162165
1237671262272356423,132.970284520735,11.8345210349251,24.94902,23.97876,22.58331,22.10402,21.38993,0.588936,0.3631933,0.1534183,0.1298479,0.2150186
1237671262272356420,132.981303179189,11.8162220521243,21.41119,20.46807,20.37281,20.25605,19.99562,0.0873732,0.02278466,0.02554725,0.02912756,0.06890412
1237671262272356416,132.995154728947,11.7302070525279,21.95984,19.40042,18.01253,17.03218,16.46445,0.1507881,0.01416939,0.007025504,0.005815648,0.007850196
1237671262272356415,132.995619800586,11.730495549847,19.13204,17.22286,16.48835,16.24058,16.10918,0.02136686,0.004623455,0.004356845,0.00504258,0.00698861
1237671262272356409,132.970112332236,11.8050190199671,23.46485,22.08046,21.40628,21.53004,22.8269,0.4786799,0.09004297,0.06375302,0.09700111,0.4745971
1237671262272356408,132.970816169544,11.8097586384364,24.29641,24.00621,22.69433,22.93012,22.53606,0.6634083,0.4045661,0.1814097,0.2778767,0.4417461
1237671262272356404,132.972288826606,11.8057723307102,15.63598,13.32376,12.60917,12.49884,13.92451,0.009946153,0.002737432,0.001404524,0.002585348,0.01020135
1237671262272356397,132.974079930173,11.7762569584942,17.46892,15.7554,15.13565,14.94288,14.84851,0.009408198,0.003466532,0.003648898,0.004329585,0.00495454
1237671262272356385,132.973837890453,11.7753104243521,24.51623,22.55169,21.64321,20.89137,20.43778,0.6025922,0.1349687,0.07717282,0.05115267,0.1019176
1237671262272356375,132.958493631408,11.8282673970496,24.90043,25.27392,23.8888,22.04397,21.13397,0.5952141,0.5506268,0.4224676,0.1261409,0.1802916
1237671262272356372,132.964680261751,11.8107668522861,24.94844,24.67841,22.22641,22.00527,21.79678,0.5876055,0.5277949,0.1134134,0.1189978,0.2881052
1237671262272292057,132.982159185259,11.7060327651323,25.62427,25.14878,24.97334,24.293,20.92254,0.4543372,0.6421579,0.6190819,0.5674053,0.1623776
1237671262272292055,132.977218344773,11.6959391862917,24.40017,24.85929,26.89051,23.63764,20.73444,0.6090293,0.5755751,0.1588251,0.4140731,0.125883
1237671262272292053,132.964487748038,11.7335962443358,25.37147,24.46857,22.99636,22.19243,21.22218,0.4826281,0.5140725,0.226703,0.149287,0.1958803
1237671262272292051,132.950518202408,11.7740556821641,25.47277,25.03501,25.99833,25.92491,21.4158,0.4397966,0.5596614,0.3344378,0.2116112,0.2152082
1237671262272292048,132.933368458031,11.720468539099,25.4273,25.80125,24.8611,24.8934,19.01997,0.4520174,0.4561819,0.5814681,0.4435801,0.03329805
1237671262272292045,132.907745779186,11.6883892471765,25.07269,24.9789,24.92206,24.2083,21.26274,0.5342458,0.5219687,0.5753881,0.5067535,0.1874729
1237671262272292042,132.885192396671,11.683042461318,24.60793,24.94793,24.36699,24.52955,21.15793,0.6951777,0.5721384,0.6134819,0.5874431,0.1979678
1237671262272292040,132.882910267412,11.6836421139463,24.82143,25.29821,23.70168,22.20686,21.16508,0.5715191,0.5005558,0.3798526,0.1467613,0.172595
1237671262272292009,132.9175742713,11.6453635942996,24.9233,24.1391,22.7207,21.1552,20.30849,0.5681654,0.3655868,0.169769,0.05956262,0.08600971
1237671262272292008,132.897588053508,11.7071342739845,23.37844,23.65071,23.41982,21.98124,22.46317,0.3669579,0.2715171,0.3193003,0.1251698,0.3913737
1237671262272292007,132.902014448254,11.689975890401,24.05015,23.89056,22.64229,21.89252,21.27744,0.5298011,0.3129352,0.1628691,0.110952,0.1885886
1237671262272291999,132.850323014121,11.667359894716,24.772,24.33921,23.57249,21.91691,21.00633,0.5797772,0.403156,0.3555587,0.1155349,0.1517475
1237671262272291998,132.850499857971,11.6595702320412,24.70947,25.66648,23.89223,21.8991,21.02983,0.578442,0.4322301,0.4414535,0.1138214,0.1541675
1237671262272291997,132.849996445126,11.6568392505012,25.13318,24.33982,23.24166,22.03178,21.39459,0.5147722,0.3986242,0.2758369,0.1272736,0.2046258
1237671262272291996,132.834432119103,11.7111692466706,25.51541,24.18924,22.83238,21.70982,21.50223,0.4221538,0.3820575,0.2073201,0.1019251,0.2336378
1237671262272291983,132.98302267965,11.7203245055437,24.06949,22.98136,21.64687,20.2071,19.43476,0.5412415,0.1709965,0.06851212,0.02816619,0.0434758
1237671262272291936,132.92917424284,11.7141441867069,24.60263,23.45237,21.7403,20.31108,19.50921,0.6594078,0.2501111,0.08058919,0.03293381,0.04991169
1237671262272291935,132.934107595577,11.6811048909105,24.77237,23.16606,21.5651,20.87938,20.19519,0.6478175,0.195911,0.06866499,0.05124157,0.08563542
1237671262272291934,132.930442634996,11.6772849613172,24.72764,23.55751,22.03378,21.5216,21.34438,0.6304288,0.2624558,0.1013524,0.08658011,0.2136585
1237671262272291931,132.907663679696,11.723258972059,24.55194,23.64958,22.25821,20.93693,20.29404,0.6528534,0.2908986,0.1300886,0.05570269,0.09530218
1237671262272291929,132.918799443594,11.6573276146071,23.97727,23.82063,22.58306,21.46407,20.8109,0.5171556,0.2965389,0.1522914,0.07672288,0.12963
1237671262272291927,132.915191064079,11.6687702598613,24.10088,23.96771,22.21433,20.74993,19.93595,0.5328646,0.3328429,0.1118404,0.04312593,0.06399697
1237671262272291925,132.914929724126,11.6544643491017,25.90821,23.28889,22.58136,22.42858,21.71406,0.3179224,0.1948214,0.1526494,0.1726242,0.2563368
1237671262272291924,132.898896134482,11.7139763366663,23.44806,24.55219,22.5641,21.55053,20.79638,0.3850291,0.4671044,0.1542481,0.08378749,0.1291861
1237671262272291923,132.900580382749,11.6784140792471,25.48308,23.19298,21.51779,20.15542,19.26108,0.5122107,0.2041181,0.07034538,0.03102151,0.04287632
1237671262272291922,132.895742304514,11.6869526652939,24.93844,23.27436,21.54385,20.16809,19.46224,0.5942906,0.1999539,0.06663813,0.02896129,0.0464679
1237671262272291921,132.903069115241,11.6413370156464,25.06821,24.21303,22.13027,20.43021,19.31938,0.7649484,0.5129294,0.1374001,0.04423327,0.05203392
1237671262272291920,132.892747068337,11.6702981436281,24.43567,23.47486,22.06631,21.31801,20.82733,0.5660334,0.2235334,0.09987915,0.06849811,0.130853
1237671262272291917,132.893307900695,11.6440429012099,24.52546,25.60149,22.54967,24.54238,23.42653,0.5905351,0.4518525,0.1505316,0.4988776,0.3339056
